frame,state,observed_target_depth_m,effective_focus_distance_m
1,tracking,36.244117736816406,36.244117736816406
2,tracking,36.16009521484375,36.17269859313965
3,tracking,35.25835037231445,35.39550260543823
4,tracking,34.956321716308594,35.02219884967804
5,tracking,34.84820556640625,34.874304558897016
6,tracking,33.80939865112305,33.96913453728914
7,tracking,33.220333099365234,33.33265331505382
8,tracking,34.53175354003906,34.351888506291274
9,tracking,35.00749969482422,34.909158016544275
10,tracking,35.200096130371094,35.15645541329707
11,tracking,34.77967834472656,34.836194905012135
12,tracking,35.27491760253906,35.209109197910024
13,tracking,35.207332611083984,35.20759909910789
14,tracking,35.2301025390625,35.22672702306931
15,tracking,34.752113342285156,34.82330539440278
16,tracking,34.39476776123047,34.459048406206314
17,tracking,32.35248565673828,32.66847006915849
18,tracking,32.44601821899414,32.47938599651879
19,tracking,33.50165557861328,33.34831514129911
20,tracking,33.46562957763672,33.44803241218607
21,tracking,33.67006301879883,33.63675842780692
22,tracking,34.86043167114258,34.67688068464223
23,tracking,34.65479278564453,34.658105970494184
24,tracking,34.79964065551758,34.77841045276407
25,tracking,34.73090744018555,34.738032892072326
26,tracking,35.04705810546875,35.00070432345929
27,tracking,33.63121032714844,33.83663442659507
28,tracking,33.72385787963867,33.740774361682135
29,tracking,32.980262756347656,33.09433949714783
30,tracking,32.51620864868164,32.60292827595157
31,tracking,32.25828552246094,32.30998193548453
32,tracking,32.546756744384766,32.51124052304973
33,tracking,33.481346130371094,33.33583028927289
34,tracking,33.54618835449219,33.5146346447093
35,tracking,36.078102111816406,35.69358199175034
36,tracking,37.17140197753906,36.94972897967075
37,tracking,35.95941925048828,36.10796570986565
38,tracking,34.90098571777344,35.08203271658727
39,tracking,34.660003662109375,34.72330802028106
40,tracking,35.04962921142578,35.00068103275407
41,tracking,38.947715759277344,38.35566055029885
42,tracking,37.796669006347656,37.88051773794034
43,tracking,33.83403778076172,34.44100977433851
44,tracking,34.203590393066406,34.23920330025722
45,tracking,36.475650787353516,36.14018366428907
46,tracking,36.608116149902344,36.53792627706035
47,tracking,37.1116943359375,37.02562912710593
48,tracking,36.858863830566406,36.88387862504734
49,tracking,34.26838684082031,34.660710608454366
50,tracking,33.9268913269043,34.036964219136806
51,tracking,32.80801010131836,32.99235321899113
52,tracking,33.88908004760742,33.75457102331497
53,tracking,36.24699401855469,35.87313056926873
54,tracking,36.6590576171875,36.54116855999969
55,tracking,37.764854431152344,37.581301550479445
56,tracking,38.724342346191406,38.552886226834616
57,tracking,40.53841018676758,40.24058159277763
58,tracking,39.900108337402344,39.95117932570864
59,tracking,39.877071380615234,39.888187572379245
60,tracking,39.868141174316406,39.87114813402584
61,tracking,39.48521423339844,39.543104318492546
62,tracking,39.94658660888672,39.88606426532759
63,tracking,38.87512969970703,39.02676988455011
64,tracking,37.61476516723633,37.8265658748334
65,tracking,38.2515754699707,38.18782403070011
66,tracking,38.9985237121582,38.87691875993949
67,tracking,38.723541259765625,38.74654788479171
68,tracking,39.07780456542969,39.02811606333399
69,tracking,38.29969787597656,38.40896060408018
70,tracking,38.60215759277344,38.57317804446945
