frame,state,current_sam_median_focus_distance_m
1,tracking,38.126041412353516
2,tracking,38.05037307739258
3,tracking,36.318145751953125
4,tracking,37.10860061645508
5,tracking,35.926536560058594
6,tracking,34.89247131347656
7,tracking,34.45722579956055
8,tracking,36.242454528808594
9,tracking,36.07118606567383
10,tracking,37.011802673339844
11,tracking,36.36635208129883
12,tracking,36.59832000732422
13,tracking,35.114559173583984
14,tracking,35.96997833251953
15,tracking,36.04064178466797
16,tracking,35.92811584472656
17,tracking,33.94118118286133
18,tracking,35.44704818725586
19,tracking,36.2747802734375
20,tracking,35.85593795776367
21,tracking,35.460453033447266
22,tracking,37.58212661743164
23,tracking,35.1866455078125
24,tracking,36.27928924560547
25,tracking,34.95542526245117
26,tracking,34.90193176269531
27,tracking,35.65258026123047
28,tracking,34.37185287475586
29,tracking,35.584991455078125
30,tracking,34.31032943725586
31,tracking,36.124725341796875
32,tracking,36.769378662109375
33,tracking,35.44379425048828
34,tracking,35.85383605957031
35,tracking,37.542457580566406
36,tracking,37.753570556640625
37,tracking,38.02955627441406
38,tracking,36.82703399658203
39,tracking,35.28706741333008
40,tracking,33.5699348449707
41,tracking,38.99357986450195
42,tracking,33.76136016845703
43,tracking,33.71131134033203
44,tracking,35.04425811767578
45,tracking,36.5117301940918
46,tracking,36.46967315673828
47,tracking,37.055389404296875
48,tracking,36.40980911254883
49,tracking,34.75010299682617
50,tracking,34.713165283203125
51,tracking,35.20435333251953
52,tracking,35.88330078125
53,tracking,37.23218536376953
54,tracking,38.9168815612793
55,tracking,39.258689880371094
56,tracking,39.473228454589844
57,tracking,41.24190139770508
58,tracking,39.70616912841797
59,tracking,40.802425384521484
60,tracking,40.535888671875
61,tracking,40.260684967041016
62,tracking,40.63970947265625
63,tracking,39.75565719604492
64,tracking,38.258758544921875
65,tracking,39.66022872924805
66,tracking,39.80510330200195
67,tracking,38.961124420166016
68,tracking,39.99190139770508
69,tracking,38.9199333190918
70,tracking,39.01509094238281
71,tracking,38.71051788330078
72,tracking,38.283836364746094
73,tracking,39.20976638793945
74,tracking,39.488182067871094
75,tracking,41.181419372558594
76,tracking,41.34238052368164
77,tracking,41.01433563232422
78,tracking,42.03640365600586
79,tracking,42.99589157104492
80,tracking,42.929107666015625
81,tracking,42.00943374633789
82,tracking,40.94286346435547
83,tracking,42.02964782714844
84,tracking,41.557498931884766
85,tracking,41.48405838012695
86,tracking,41.40264892578125
87,tracking,40.687034606933594
88,tracking,40.17749786376953
89,tracking,39.392513275146484
90,tracking,37.21992111206055
91,tracking,36.74369812011719
92,tracking,36.747379302978516
93,tracking,36.66838836669922
94,tracking,35.49396514892578
95,tracking,34.872657775878906
96,tracking,36.47735595703125
97,tracking,37.430206298828125
98,tracking,38.134986877441406
99,tracking,38.23887634277344
100,tracking,39.03093719482422
101,tracking,38.36160659790039
102,tracking,39.026405334472656
103,tracking,39.437278747558594
104,tracking,41.37078857421875
105,tracking,42.15819549560547
106,tracking,42.03272247314453
107,tracking,41.90843200683594
108,tracking,40.163673400878906
109,tracking,42.04338836669922
110,tracking,39.860164642333984
111,tracking,39.64067840576172
112,tracking,38.398399353027344
113,tracking,38.134376525878906
114,tracking,39.21940231323242
115,tracking,39.501319885253906
116,tracking,40.35111999511719
117,tracking,39.916988372802734
118,tracking,40.43843078613281
119,tracking,41.17055130004883
120,tracking,41.372962951660156
121,deep-focus-pull,41.372962951660156
122,deep-focus-pull,41.372962951660156
